id,title,pillar,type,decision,primary_node,secondary_nodes,link_strategy
M001,2026 미국 중간선거 투자지도 ① 공화당 승리 수혜 미국주식·ETF,INVEST,analysis,KEEP,US Midterms,"US Equities|ETF|Policy",series-1-to-4
M002,2026 미국 중간선거 투자지도 ② 트럼프 관세와 삼성전자·SK하이닉스·현대차,INVEST,analysis,KEEP,Tariffs,"Samsung Electronics|SK hynix|Hyundai Motor",series-1-to-4
M003,2026 미국 중간선거 투자지도 ③ 머스크 정치 베팅과 테슬라·비트코인,INVEST,analysis,KEEP,Political Risk,"Tesla|Bitcoin|US Midterms",series-1-to-4
M004,2026 미국 중간선거 투자지도 ④ 최종 자산배분,INVEST,guide,KEEP,Asset Allocation,"US Equities|Korea Equities|ETF",series-hub
M005,트럼프·머스크 8,100억 승부수와 미국 증시 5가지 변수,INVEST,analysis,MERGE,US Midterms,"Political Funding|Policy|Markets",merge-into-M001
M006,모르면 인덱스 사세요,INVEST,opinion,KEEP,Index Investing,"Concentration Risk|Nasdaq100",link-to-M007-M008
M007,확신이 있을 때만 집중투자해야 하는 이유,INVEST,guide,KEEP,Concentration Risk,"Conviction|Risk Management",series-index-2
M008,인덱스와 개별주 비중은 어떻게 정할까,INVEST,guide,KEEP,Portfolio Construction,"Index Investing|Single Stocks",series-index-3
M009,워런 버핏의 S&P500 유언과 인덱스 철학,INVEST,analysis,KEEP,Index Investing,"Warren Buffett|S&P500|John Bogle",link-to-index-series
M010,삼성전자 9월 4일 주가·수급 분석,INVEST,analysis,KEEP,Samsung Electronics,"Institutional Flow|Foreign Flow|Support Resistance",link-to-M011-M012
M011,삼성전자 다음 거래일 체크포인트,INVEST,guide,KEEP,Samsung Electronics,"Price Levels|Flow|Scenario",follow-M010
M012,삼성전자 기관 순매수와 25만원 바닥 해석,INVEST,analysis,MERGE,Samsung Electronics,"Institutional Flow|HBM",merge-into-M010
M013,글로벌 ETF 자금 유입과 VOO·IVV·SPY,INVEST,analysis,KEEP,ETF Flows,"VOO|IVV|SPY",link-to-portfolio
M014,서학개미 SOXL 집중매수와 반도체 레버리지 리스크,INVEST,analysis,KEEP,SOXL,"Semiconductors|Leverage|Retail Flow",link-to-risk
M015,반도체 업황 DRAM·NAND·HBM 요약,INVEST,analysis,KEEP,Memory Cycle,"DRAM|NAND|HBM",link-to-samsung-skhy
M016,LG전자 로봇 액추에이터 빅테크 공급 추진,INVEST,analysis,KEEP,LG Electronics,"Actuator|Humanoid|Physical AI",series-robotics-1
M017,LG전자 로봇 부품 사업이 주가에 미칠 영향,INVEST,analysis,KEEP,Physical AI,"LG Electronics|Robotics|Margins",series-robotics-2
M018,LG전자 액추에이터와 휴머노이드 밸류체인,INVEST,analysis,KEEP,Humanoid Robotics,"Actuator|Big Tech|Supply Chain",series-robotics-3
M019,한국 경상수지 흑자와 증시 영향,INVEST,analysis,KEEP,Current Account,"KRW|Exports|KOSPI",macro-link
M020,삼성전자·SK하이닉스 브랜드 가치 상승과 AI 슈퍼사이클,INVEST,analysis,KEEP,AI Semiconductor,"Brand Value|HBM|Global Tech",link-to-memory-cycle
M021,외국인 수급으로 보는 반도체주 전망,INVEST,analysis,KEEP,Foreign Flow,"Semiconductors|KOSPI|FX",link-to-M010-M015
M022,2026 중간선거와 한국 증시 정책 전달경로,INVEST,analysis,MERGE,Policy Transmission,"Tariffs|Korea Equities|FX",merge-into-series-M001-M004
M023,ISA 장기 포트폴리오 6자산 배분,INVEST,guide,KEEP,ISA,"S&P500|Nasdaq100|Dividend ETF",portfolio-hub
M024,VOO·QQQM·SCHD 비교,INVEST,guide,KEEP,ETF Selection,"VOO|QQQM|SCHD",link-to-M023
M025,JoyLab 투자 액션 사자·보류·팔자 기준,INVEST,guide,KEEP,Investment Gate,"Scorecard|Position Sizing|Risk",policy-node
M026,AI 에이전트 판이 바뀌었다,AI,analysis,KEEP,AI Agents,"Automation|Tool Use|Workflow",ai-agent-hub
M027,차세대 AI 자율 업무 에이전트 생태계,AI,analysis,KEEP,Agentic AI,"Coding|Data Analysis|Business Workflow",link-to-M026
M028,이든티앤에스 문서 분석부터 시스템 실행까지,AI,analysis,KEEP,Enterprise Agent,"RPA|Documents|Public Sector",case-study
M029,MCP가 에이전트 업무 연결을 바꾸는 방식,AI,guide,KEEP,MCP,"Agents|Tools|Integrations",ai-foundation
